"hotelNo","hotelName","address1","address2","postalCode","areaCode","areaName","","","","","","","","","","","","",""
"141356","高濃度炭酸泉　八重桜の湯　スーパーホテルＰｒｅｍｉｅｒ東京駅八重洲中央口","東京都","中央区八重洲2-2-7　 ","104-0028","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"74637","アパホテル＆リゾート〈東京ベイ潮見〉","東京都","江東区潮見2-8-6","135-0052","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"153347","京急ＥＸイン　東銀座","東京都","中央区築地2丁目１５－１５","104-0045","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"40780","京王プレッソイン大手町","東京都","中央区日本橋本石町4-4-1","103-0021","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"151302","京急ＥＸイン　秋葉原","東京都","台東区秋葉原2-1","110-0006","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"160960","京王プレッソイン東京駅八重洲","東京都","中央区京橋1-4-1","104-0031","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"167516","ベルケンホテル・神田","東京都","千代田区神田須田町1-4-7","101-0041","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"367","はとバス直営　銀座キャピタルホテル茜","東京都","中央区築地 ３－１－５","104-0045","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"180271","ホテル　かずさや","東京都","中央区日本橋本町4-7-15","103-0023","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"39646","京王プレッソイン日本橋茅場町","東京都","中央区日本橋茅場町1-3-5","103-0025","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"4822","ホテルイースト２１東京（オークラホテルズ＆リゾーツ）","東京都","江東区東陽6-3-3","135-0016","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"176736","天然温泉　奥湯河原の湯　スーパーホテルＰｒｅｍｉｅｒ秋葉原","東京都","千代田区神田須田町2-25-8","101-0041","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"28576","帝国ホテル東京","東京都","千代田区内幸町1-1-1","100-8558","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"165175","ホテルインターゲート東京京橋","東京都","中央区京橋3-7-8","104-0031","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"167812","天然温泉　奥湯河原の湯　スーパーホテルＰｒｅｍｉｅｒ銀座","東京都","中央区銀座3-11-15","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"137869","東京ステーションホテル","東京都","千代田区丸の内1-9-1","100-0005","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"178610","ダイワロイネットホテル東京京橋　ＰＲＥＭＩＥＲ","東京都","中央区京橋2-8-20","104-0031","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"181179","相鉄フレッサイン　神田大手町","東京都","千代田区内神田2-8-4","101-0047","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"178005","ホテル八重の翠東京","東京都","中央区八丁堀2-13-1","104-0032","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"184244","オリンピックイン神田","東京都","千代田区神田富山町30-1","101-0043","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"178446","京急ＥＸイン　東京・日本橋","東京都","中央区日本橋茅場町2-4-8","103-0025","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"176718","ＪＲ東日本ホテルメッツ　プレミア　東京ベイ新木場","東京都","江東区新木場1-6-1","136-0082","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"922","センターホテル東京","東京都","中央区日本橋兜町15-13","103-0026","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"15204","ホテル　サードニクス東京","東京都","中央区八丁堀1-13-7","104-0032","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"8961","八重洲ターミナルホテル","東京都","中央区八重洲1-5-14","103-0028","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"184117","Ｌ　ｓｔａｙ＆ｇｒｏｗ晴海","東京都","中央区晴海3-8-1","104-0053","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"178266","東京イーストサイド　ホテル櫂会","東京都","江東区潮見2-8-11","135-0052","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"17712","西鉄イン日本橋","東京都","中央区日本橋小舟町15-18","103-0024","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"18270","京王プレッソイン神田","東京都","千代田区神田多町2-8","101-0046","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"56634","ホテルメトロポリタン丸の内","東京都","千代田区丸の内1-7-12 サピアタワー27階～34階","100-0005","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"149164","ダイワロイネットホテル銀座　ＰＲＥＭＩＥＲ　２０２６年４月リニューアル","東京都","中央区銀座1丁目13-15","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"5309","グランドセントラルホテル＜東京都＞","東京都","千代田区神田司町2-2","101-0048","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"41071","亀島川温泉　新川の湯　ドーミーイン東京八丁堀","東京都","中央区新川2－20－4","104-0033","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"147713","ホテルサンルート銀座","東京都","中央区銀座1-15-11","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"193351","ホテルマリナーズコート東京","東京都","中央区晴海4-7-28","104-0053","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"168428","アパホテル〈日本橋馬喰町駅前〉","東京都","中央区日本橋馬喰町1-6-6","103-0002","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"153207","相鉄フレッサイン　銀座七丁目","東京都","中央区銀座7-11-12","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"52322","ワシントンＲ＆Ｂホテル東京東陽町","東京都","江東区南砂2-1-5","136-0076","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"181376","Ｌ　ｓｔａｙ＆ｇｒｏｗ南砂町","東京都","江東区南砂7-10‐14","136-0076","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"104554","秋葉原ワシントンホテル","東京都","千代田区神田佐久間町1-8-3","101-0025","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"168314","ホテルＳＵＩ神田ｂｙＡＢＥＳＴ","東京都","千代田区鍛冶町1-9-15","101-0044","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"165857","相鉄フレッサイン東京神田","東京都","千代田区神田紺屋町8-1","101-0035","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"5628","デイナイスホテル東京","東京都","江東区木場2-1-1","135-0042","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"41707","東急ステイ門前仲町","東京都","江東区富岡1-23-2","135-0047","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"68107","レム日比谷","東京都","千代田区有楽町1-2-1","100-0006","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
