手当種別(名称),手当コード,手当名,手当金額,計算式入力フラグ,金額変更フラグ,下限金額,上限金額,使用機能国内出張,使用機能海外出張,勘定科目コード(個別設定：国内出張),補助科目コード(個別設定：国内出張),税区分コード(個別設定：国内出張),勘定科目コード(個別設定：海外出張),補助科目コード(個別設定：海外出張),税区分コード(個別設定：海外出張),勘定科目コード(共通設定),補助科目コード(共通設定),税区分コード(共通設定),使用部門種別１,使用部門種別２,使用部門種別３,使用部門種別４
手当1,001,日当,1700,0,0,0,99999999,1,0,,,,,,,7460,1,10,1,0,0,0
手当1,002,日当(連続),1700,1,0,0,99999999,1,0,,,,,,,7460,1,10,1,0,0,0
手当1,003,日帰り補助,3000,0,0,0,99999999,1,0,,,,,,,7460,1,10,1,0,0,0
手当1,004,日当,1700,0,0,0,99999999,1,0,,,,,,,8110,1,12,0,0,1,0
手当1,005,日当(連続),1700,1,0,0,99999999,1,0,,,,,,,8110,1,12,0,0,1,0
手当1,006,日帰り補助,3000,0,0,0,99999999,1,0,,,,,,,8110,1,12,0,0,1,0
手当1,007,日当,1700,0,0,0,99999999,1,0,,,,,,,8110,1,12,0,1,0,0
手当1,008,日当(連続),1700,1,0,0,99999999,1,0,,,,,,,8110,1,12,0,1,0,0
手当1,009,日帰り補助,3000,0,0,0,99999999,1,0,,,,,,,8110,1,10,0,1,0,0
手当1,401,外出後帰宅不可,2000,0,0,0,99999999,1,0,,,,,,,7460,1,10,1,0,0,0
手当1,402,外出後帰宅不可,2000,0,0,0,99999999,1,0,,,,,,,8110,1,12,0,1,0,0
手当1,403,外出後帰宅不可,2000,0,0,0,99999999,1,0,,,,,,,8110,1,12,0,0,1,0
手当1,501,日当/滞在費補助(A地),1700,1,0,0,99999999,0,1,,,,,,,7460,5,0,1,0,0,0
手当1,502,日当/滞在費補助(A地),1700,1,0,0,99999999,0,1,,,,,,,8110,5,0,0,1,1,0
手当1,503,日当/滞在費補助(B地),1700,1,0,0,99999999,0,1,,,,,,,7460,5,0,1,0,0,0
手当1,504,日当/滞在費補助(B地),1700,1,0,0,99999999,0,1,,,,,,,8110,5,0,0,1,1,0
手当1,601,日当/滞在費補助(A地):連続,1700,1,0,0,99999999,0,1,,,,,,,7460,5,0,1,0,0,0
手当1,602,日当/滞在費補助(A地):連続,1700,1,0,0,99999999,0,1,,,,,,,8110,5,0,0,1,1,0
手当1,603,日当/滞在費補助(B地):連続,1700,1,0,0,99999999,0,1,,,,,,,7460,5,0,1,0,0,0
手当1,604,日当/滞在費補助(B地):連続,1700,1,0,0,99999999,0,1,,,,,,,8110,5,0,0,1,1,0
手当1,010,日当,1000,0,0,0,99999999,1,0,,,,,,,7650,5,10,0,0,0,1
手当1,011,日当(連続),1700,1,0,0,99999999,1,0,,,,,,,7650,5,10,0,0,0,1
手当1,012,外出後帰宅不可,2000,0,0,0,99999999,1,0,,,,,,,7650,5,10,0,0,0,1
手当1,101,研修期間中日当,2000,1,0,0,99999999,1,0,,,,,,,7460,1,10,1,0,0,0
手当1,102,研修期間中日当,2000,1,0,0,99999999,1,0,,,,,,,8110,1,12,0,1,0,0
手当1,103,研修期間中日当,2000,1,0,0,99999999,1,0,,,,,,,8110,1,12,0,0,1,0
手当1,104,研修期間中日当,1500,0,0,0,99999999,1,0,,,,,,,7650,5,10,0,0,0,1
手当2,992,宿泊料,0,0,1,0,99999999,1,0,,,,,,,8110,1,12,0,0,1,0
手当2,993,宿泊料,0,0,1,0,99999999,1,0,,,,,,,8110,1,10,0,1,0,0
手当2,991,宿泊料,0,0,1,0,99999999,1,0,,,,,,,7460,1,10,1,0,0,0
手当2,994,海外:宿泊料,0,1,0,0,99999999,0,1,,,,,,,8110,5,0,0,1,1,0
手当2,995,海外:宿泊料,0,1,0,0,99999999,0,1,,,,,,,7460,5,0,1,0,0,0
手当2,999,宿泊料,0,0,1,0,99999999,1,0,,,,,,,7650,5,10,0,0,0,1
手当3,011,滞在費補助,0,1,0,0,99999999,1,0,,,,,,,7460,1,10,1,0,0,0
手当3,012,滞在費補助(連続),0,1,0,0,99999999,1,0,,,,,,,7460,1,10,1,0,0,0
