部門コード,部門名,部門略名,部門種別(名称),会計連携項目,備考,有効/無効
001,販管,販管部,種別３,,,有効
010,管理部,管理部,種別３,,,有効
020,事業推進,事業推進,種別３,,,無効
110,技術部　技術1課　1G,技1　1G,種別１,,,有効
120,技術部　技術1課　2G,技1　2G,種別１,,,有効
210,技術部　技術2課　1G,技2　1G,種別１,,,有効
220,技術部　技術2課　2G,技2　2G,種別１,,,有効
310,技術部　その他仕入商品,その他仕入,種別１,,主に海外製品,有効
320,技術部　新規事業,新規事業,種別１,,国内SCREEN以外の製品取扱,有効
400,技術部(派遣社員),技術部(派,種別４,,,有効
800,ｿﾘｭｰｼｮﾝｻﾎﾟｰﾄ部,SS部,種別２,,,有効
810,ｿﾘｭｰｼｮﾝｻﾎﾟｰﾄ部　東京,SS部東京,種別２,,,無効
820,ｿﾘｭｰｼｮﾝｻﾎﾟｰﾄ部　関西,SS部関西,種別２,,,無効
900,技術部,技術部,種別１,,,有効
910,事業推進(製造),事推(製造),種別１,,,無効
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,A,,,,
